Date,price_coffee_pre
2023-07-07,2347.1109376549716
2023-07-10,2321.7067422866817
2023-07-11,2279.034930348396
2023-07-12,2227.522188544273
2023-07-13,2182.374873876571
2023-07-14,2151.5694179534908
2023-07-17,2127.0637203454967
2023-07-18,2106.017180860042
2023-07-19,2088.6689611077304
2023-07-20,2077.5299402475353
2023-07-21,2066.645650863647
2023-07-24,2054.9516225457187
2023-07-25,2043.78718149662
2023-07-26,2032.8318215012548
2023-07-27,2022.8411576747892
2023-07-28,2014.2883232831953
2023-07-31,2004.131951600313
2023-08-01,1993.394516766071
2023-08-02,1982.72010281682
2023-08-03,1972.1780327260492
2023-08-04,1961.733406692743
2023-08-07,1951.4377535581586
2023-08-08,1942.7026352286337
2023-08-09,1934.0850852727888
2023-08-10,1925.9038622677324
2023-08-11,1918.0988580584524
2023-08-14,1911.0737240612505
2023-08-15,1905.1511907577512
2023-08-16,1899.6726104617117
2023-08-17,1894.436104506254
