Epoch,Loss
1,0.33012494444847107
2,0.17296727001667023
3,0.12312720715999603
4,0.09163631498813629
5,0.07734426110982895
6,0.06815031170845032
7,0.06427910178899765
8,0.06249149143695831
9,0.06324320286512375
10,0.058911170810461044
11,0.05832447484135628
12,0.05660497769713402
13,0.05686765909194946
14,0.05355227738618851
15,0.05482420325279236
16,0.05267641320824623
17,0.05416170507669449
18,0.05272901803255081
19,0.052909448742866516
20,0.05251295492053032
21,0.05379912629723549
22,0.05112324655056
23,0.05173851549625397
24,0.049642164260149
25,0.04988282546401024
26,0.04986342415213585
27,0.05058019980788231
28,0.052309781312942505
29,0.04934157803654671
30,0.0497962087392807
31,0.04894320294260979
32,0.0499630831182003
33,0.04908214136958122
34,0.04741828143596649
35,0.04874719679355621
36,0.04928728938102722
37,0.049064043909311295
38,0.0480082742869854
39,0.04740763083100319
40,0.048082150518894196
41,0.04834488406777382
42,0.048369150608778
43,0.04740511253476143
44,0.04689481481909752
45,0.048318371176719666
46,0.04870050400495529
47,0.047134336084127426
48,0.04753363877534866
49,0.04837821051478386
50,0.04750778526067734
